Fields,psych area,key topic,Target population (y/n),number,Title,Authors,Journal,Alert Month,Pulication date,Link,Abstract,
,,,,226,An Exploratory Investigation of the Impact of Consumer Emotions and Attitudes on Patronage Intention After Mall Shooting Episodes,"J Yurchisin, K Watchravesringkan, RN Yan","Celebrating America’s Pastimes: Baseball, Hot Dogs, Apple Pie and Marketing?",March,March 2016,http://link.springer.com/chapter/10.1007/978-3-319-26647-3_125,"Acts of gun violence at shopping malls have been occurring with greater frequency in recent years (O’Donnell 2014). These incidents can have a devastating impact on business if consumers do not return to the mall after the incident (Morris and Stevens 2014). While managing consumer perceptions of the shopping mall is very important, little research has been conducted on post-incident consumer behavior at shopping malls. The purpose of this exploratory research was to investigate consumers’ emotional, attitudinal, and behavioral responses to acts of gun violence at shopping malls. The research is grounded by the stimulus-organism-response framework (Mehrabian and Russell 1974) as well as the attitude-behavior connection (Ajzen and Fishbein 1977). Data were collected via an online questionnaire. Amazon’s Mechanical Turk was utilized to recruit participants to complete the questionnaire. A total of 244 usable questionnaires were completed by U.S. consumers. The questionnaire contained four sections. Participants were first asked to respond to Likert-type scale items to assess their current intentions to visit their favorite shopping mall (Stoehl et al. 2004). In the second section of the questionnaire, participants read a fictional newspaper article about a shooting that recently occurred at their favorite shopping mall. The newspaper account was based on a collection of actual newspaper articles about recent mall shooting incidents. In the fictional newspaper article, the act of gun violence was described as being a random event in which one customer was killed by a gunman who later killed himself. After participants read the fictional newspaper article, they completed a semantic differential scale designed to assess their feelings of pleasure and arousal associated with visiting their favorite shopping mall following the shooting incident (Donovan et al. 1994). Next, participants were directed to respond to Likert-type scale items designed to assess their attitudes toward the mall following the shooting incident (Yoo and MacInnis 1998). Participants then responded to the same items from the first section of the questionnaire again to assess their post-incident intentions to visit the mall. Demographic information was collected in the fourth and final section of the questionnaire. Structural equation modeling was used to test the hypotheses. The structural model exhibited a moderate, but acceptable, fit. Participants’ intention to visit the shopping mall following an act of gun violence was predicted by their attitudes toward the shopping mall. Although level of pleasure and level of arousal were both hypothesized to be emotional antecedents of consumers’ post-incident attitudes toward the shopping mall, only level of pleasure was significantly related to attitudes in the model. Hence, mall managers should perhaps try to emphasize the pleasurable aspects of the shopping mall to encourage consumers to re-patronize the mall following a shooting episode.",
,,,,227,"Exploring the Relationship among Perceived Resilience, Dependency, and Self-Criticism: The Role of Culture and Social Support.","AK Satterwhite, AF Luchner", North American Journal of Psychology,March,March 2016,http://web.b.ebscohost.com/ehost/detail/detail?sid=84a3964e-353d-40bf-b348-56504dfdc522%40sessionmgr105&vid=0&hid=118&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#AN=113323972&db=bsh,"This study examined how social support, personality and culture relate to perceived resiliency. It was believed that personality factors (dependency and self-criticism) and culture would impact the perception of resilience in individuals. A community sample of 210 participants representing both India and the United States were recruited through Mechanical Turk. Results revealed that dependency was related to greater perceived resilience in the India group and to less perceived resilience in the US group. Perceived resilience was related to self-criticism in the US group, but was not related in the India group. Social support was strongly related to perceived resilience in both cultures. These results suggest that perceived resilience and social support may depend on personality and cultural factors.",
,,,,228,Developmental changes in semantic knowledge organization,"L Unger, AV Fisher, R Nugent, SL Ventura",Journal of Experimental Child Psychology,March,March 2016,http://www.sciencedirect.com/science/article/pii/S0022096516000151,"Semantic knowledge is a crucial aspect of higher cognition. Theoretical accounts of semantic knowledge posit that relations between concepts provide organizational structure that converts information known about individual entities into an interconnected network in which concepts can be linked by many types of relations (e.g., taxonomic, thematic). The goal of the current research was to address several methodological shortcomings of prior studies on the development of semantic organization, by using a variant of the spatial arrangement method (SpAM) to collect graded judgments of relatedness for a set of entities that can be cross-classified into either taxonomic or thematic groups. In Experiment 1, we used the cross-classify SpAM (CC–SpAM) to obtain graded relatedness judgments and derive a representation of developmental changes in the organization of semantic knowledge. In Experiment 2, we validated the findings of Experiment 1 by using a more traditional pairwise similarity judgment paradigm. Across both experiments, we found that an early recognition of links between entities that are both taxonomically and thematically related preceded an increasing recognition of links based on a single type of relation. The utility of CC–SpAM for evaluating theoretical accounts of semantic development is discussed.",
,,,,229,"Sex, Germs and Health: Pathogen-Avoidance Motives and Health-Protective Behavior","SLK Gruijters, JM Tybur, RAC Ruiter, K Massar","Psychology & Health,",March,March 2016,http://www.tandfonline.com/doi/abs/10.1080/08870446.2016.1161194,"Objective: Recent work suggests that the psychology of pathogen-avoidance has wide-reaching effects on how people interact with the world. These processes – part of what has been referred to as the behavioural immune system – are, in a way, our ‘evolved’ health psychology. However, scholars have scarcely investigated how the behavioural immune system relates to health-protective behaviours. The current research attempts to fill this gap Design: Across two cross-sectional studies (N = 386 and 470, respectively), we examined the relationship between pathogen-avoidance motives and health-protective behaviour. Outcome Measures: The studies used self-reported measures of attitude and intention as indicators of health-protective behaviour. Results: Data collected in Study 1 revealed that pathogen-avoidance motivation related to participants’ attitude and intention towards sexually transmitted infections screening. High levels of pathogen-avoidance motivation were also related to having had fewer sexual partners, which partially mediated the effect of pathogen-avoidance variables on testing motivation. Study 2 extended these findings by showing moderate associations between pathogen-avoidance motivation and a broad range of health-protective behaviours, including but not limited to pathogen-related health concerns.Conclusion: We argue that understanding and targeting pathogen-avoidance psychology can add novel and important understanding of health-protective behaviour.",
,,,,230,Using Query Performance Predictors to Improve Spoken Queries,"J Arguello, S Avula, F Diaz",Advances in Information Retrieval,March,March 2016,http://link.springer.com/chapter/10.1007/978-3-319-30671-1_23,"Query performance predictors estimate a query’s retrieval effectiveness without user feedback. We evaluate the usefulness of pre- and post-retrieval performance predictors for two tasks associated with speech-enabled search: (1) predicting the most effective query transcription from the recognition system’s n-best hypotheses and (2) predicting when to ask the user for a spoken query reformulation. We use machine learning to combine a wide range of query performance predictors as features and evaluate on 5,000 spoken queries collected using a crowdsourced study. Our results suggest that pre- and post-retrieval features are useful for both tasks, and that post-retrieval features are slightly better.",
,,,,231,Awareness of ag-gag laws erodes trust in farmers and increases support for animal welfare regulations,"JA Robbins, B Franks, DM Weary",Food Policy,March,March 2016,http://www.sciencedirect.com/science/article/pii/S0306919216300045,"Hidden-camera investigations are becoming an increasingly popular means of raising public awareness about farm animal welfare. However, livestock industries claim they are deceptive. One strategy to curtail these investigations has been the introduction of so-called ag-gag legislation, which aims to restrict the flow of information coming out of farm facilities. Psychological research suggests that this approach may be counter-productive as reducing information flow often reduces feelings of trust. We sought to extend these findings by applying them to a real-world, timely example and to determine whether the perceived intention to obstruct access to information erodes feelings of trust. Accordingly, this study tested whether simply being made aware of ag-gag laws might have a negative impact on trust in farmers. Participants (n = 716) were randomly assigned to either receive information about ag-gag laws or to a Control condition. We found that most people were unaware of ag-gag laws and that learning about them lead to a decrease in trust in farmers and an increase in support for animal welfare regulations. Interestingly, we also found evidence that awareness of ag-gag laws negatively impacted perceptions of the current status of farm animal welfare as well as the perception that farmers do a good job of protecting the environment. Through this topical example, this study demonstrates that even the intention to restrict access to information can undermine trust.",
,,,,232,Interpersonal Risk for Suicide in Social Anxiety: The Roles of Shame and Depression,"KA Arditte, DM Morabito, AM Shaw, KR Timpano",Psychiatry Research,March,March 2016,http://www.sciencedirect.com/science/article/pii/S0165178115303346,"Though research indicates that individuals with social anxiety disorder may experience elevated levels of thwarted belongingness and perceived burdensomeness, two interpersonal risk factors critical for the development of suicidal desire, it remains unclear why. The current investigation considered how shame and depression may help to explain the relationship between social anxiety and interpersonal suicide risk factors. Participants (N=259), recruited using Amazon.com's Mechanical Turk, completed measures of social anxiety, interpersonal suicide risk factors, shame, and depression. Social anxiety was associated with greater thwarted belongingness and perceived burdensomeness. In addition, shame partially explained the association between social anxiety and thwarted belongingness, though the indirect effect was no longer significant after considering depression as a moderator. As predicted, shame was found to fully explain the association between social anxiety and perceived burdensomeness and this indirect effect was most pronounced among individuals with high comorbid depression. The clinical implications of these findings are discussed.",
,,,,233,Parent's Psychological Flexibility: Associations with Parenting and Child Psychosocial Well-Being,"AA Brassell, E Rosenberg, J Parent, JN Rough",Journal of Contextual Behavioral Science,March,March 2016,http://www.sciencedirect.com/science/article/pii/S2212144716300059,"Recent research has started to examine psychological flexibility both in normative samples and within the family context. The current study aimed to extend this research by testing a model examining associations between general psychological flexibility, psychological flexibility specific to the parenting role, adaptive parenting practices, and child internalizing and externalizing problems across three developmental stages. Participants (N=615; 55% female) were parents of children in young childhood (3–7 years; n=210), middle childhood (8–12 years; n=200), and adolescence (13–17 years;n=205). Parents reported on their general psychological flexibility, parenting-specific psychological flexibility, parenting practices, and their child's or adolescent's internalizing and/or externalizing problems. Findings were consistent across child age groups and demonstrated that higher levels of parenting-specific psychological flexibility were indirectly related to lower levels of youth internalizing and externalizing problems through adaptive parenting practices. Implications for promotion of well-being within the family context among normative samples are discussed.",
,,,,234,Leveraging Crowd for Game-based Learning: A Case Study of Privacy Education Game Design and Evaluation by Crowdsourcing,"W Wang, Y Tao, K Wang, D Jedruszczak, B Knutson",arXiv,March,March 2016,http://arxiv.org/pdf/1603.02766.pdf,"As the Internet grows in importance, it is vital to develop methods and techniques for educating end-users to improve their awareness of online privacy. Web-based education tools have been proven effective in many domains and have been increasingly adopted by many online professional and educational services. However, the design and development of Web-based education tools for online privacy is still in the early stage. The traditional solutions always involve privacy experts who have sophisticated expertise. Such involvement can make the tool development costly. Furthermore, it is not clear how inspiring and effective these education tools are to general users of varying backgrounds, specially to novice users who have rarely dealt with online privacy issues before. In this paper, we design, develop, and evaluate a game-based privacy learning system by leveraging the wisdom of a crowd of non-experts on Amazon Mechanic Turk. Empirical study demonstrates that the crowd can provide high-quality ideas of designing and developing a practical, educational privacy learning game.",
,,,,235,Investigation of an Abbreviated 4 and 8 Item Version of the PTSD Checklist 5,"M Price, DD Szafranski, K van Stolk-Cooke, DF Gros",Psychiatry Research,March,March 2016,http://www.sciencedirect.com/science/article/pii/S0165178115300664,"Posttraumatic stress disorder (PTSD) is a significant public health concern associated with marked impairment across the lifespan. Exposure to traumatic events alone, however, is insufficient to determine if an individual has PTSD. PTSD is a heterogeneous diagnosis such that assessment of all 20 symptoms is problematic in time-limited treatment settings. Brief assessment tools that identify those at risk for PTSD and measure symptom severity are needed to improve access to care and assess treatment response. The present study evaluated abbreviated measures of PTSD symptoms derived from the PTSD Checklist for DSM-5 (PCL-5) – a 20-item validated measure of PTSD symptoms – across two studies. In the first, using a community sample of adults exposed to a traumatic event, 4-and 8-item versions of the PCL-5 were identified that were highly correlated with the full PCL-5. In the second, using a sample of combat veterans, the 4-and 8-item measures had comparable diagnostic utility to the total-scale PCL-5. These results provide support for an abbreviated measure of the PCL-5 as an alternative to the 20-item total scale.",
,,,,236,Political Chameleons: An Exploration of Conformity in Political Discussions,"TN Carlson, JE Settle",Political Behavior,March,March 2016,http://link.springer.com/article/10.1007/s11109-016-9335-y,"Individuals do not always express their private political opinions in front of others who disagree. Neither political scientists nor psychologists have been able to firmly establish why this behavior occurs. Previous research has explored, at length, social influence on political attitudes and persuasion. However, the concept of conformity does not involve attitude change or persuasion; it more accurately involves self-censoring to match a socially desirable norm. In an effort to improve our understanding of this behavior, we conduct two experiments to investigate perceptions and behavioral responses to contentious political interactions. Study 1 asked participants to predict how a hypothetical character would respond to a variety of political interactions among coworkers. In Study 2, participants discussed political issues with confederates who were scripted to disagree with them. The studies reveal that individuals are uncomfortable around political interactions in which they hold an opinion counter to the group. Participants both expected a hypothetical character to conform in Study 1 and actually conformed themselves in the lab session in Study 2.",
,,,,237,"The Role of Moral Beliefs, Memories, and Preferences in Representations of Identity","L Heiphetz, N Strohminger, LL Young",Cognitive Science,March,March 2016,http://onlinelibrary.wiley.com/doi/10.1111/cogs.12354/full,"People perceive that if their memories and moral beliefs changed, they would change. We investigated why individuals respond this way. In Study 1, participants judged that identity would change more after changes to memories and widely shared moral beliefs (e.g., about murder) versus preferences and controversial moral beliefs (e.g., about abortion). The extent to which participants judged that changes would affect their relationships predicted identity change (Study 2) and mediated the relationship between type of moral belief and perceived identity change (Study 3). We discuss the role that social relationships play in judgments of identity and highlight implications for psychology and philosophy.",
,,,,238,Casino Customers' Intention to Join a Loyalty Rewards Program The Effect of Number of Tiers and Gender,"J Quigno, L Zhang",Cornell Hospitality Quarterly,March,March 2016,http://cqx.sagepub.com/content/early/2016/02/18/1938965516631820.abstract,"Companies have long sought to use a loyalty rewards program as a way to maintain loyal customers, encourage purchasing, and attract new customers by providing certain incentives. Despite the fruitful research on the impact of such programs on customers’ purchasing behavior and loyalty, there is limited research on factors influencing customers’ likelihood to join a program in the casino industry. To bridge the gap, the present research aims to examine the combined effect of number of tiers and gender on customers’ attitudes and intention to join a loyalty rewards program. The results indicate that male customers exhibited more positive attitudes and higher level of intention to join a program that has four tiers (vs. two tiers). Conversely, female customers’ attitudes and joining intentions are stronger when facing a loyalty rewards program containing two tiers (vs. four tiers). The underlying psychological mechanism is individuals’ need for status (NFS).",
,,,,239,Direction of attentional focus in biofeedback treatment for/r/misarticulation,"T McAllister Byun, MT Swartz, PF Halpin, D Szeredi",International Journal of Language & Communication Disorders,March,March 2016,http://onlinelibrary.wiley.com/doi/10.1111/1460-6984.12215/full,"Background Maintaining an external direction of focus during practice is reported to facilitate acquisition of non-speech motor skills, but it is not known whether these findings also apply to treatment for speech errors. This question has particular relevance for treatment incorporating visual biofeedback, where clinician cueing can direct the learner's attention either internally (i.e., to the movements of the articulators) or externally (i.e., to the visual biofeedback display). Aims This study addressed two objectives. First, it aimed to use single-subject experimental methods to collect additional evidence regarding the efficacy of visual–acoustic biofeedback treatment for children with /r/ misarticulation. Second, it compared the efficacy of this biofeedback intervention under two cueing conditions. In the external focus (EF) condition, participants’ attention was directed exclusively to the external biofeedback display. In the internal focus (IF) condition, participants viewed a biofeedback display, but they also received articulatory cues encouraging an internal direction of attentional focus. Methods & Procedures Nine school-aged children were pseudo-randomly assigned to receive either IF or EF cues during 8 weeks of visual–acoustic biofeedback intervention. Accuracy in /r/ production at the word level was probed in three to five pre-treatment baseline sessions and in three post-treatment maintenance sessions. Outcomes were assessed using visual inspection and calculation of effect sizes for individual treatment trajectories. In addition, a mixed logistic model was used to examine across-subjects effects including phase (pre/post-treatment), /r/ variant (treated/untreated), and focus cue condition (internal/external). Outcomes & Results Six out of nine participants showed sustained improvement on at least one treated /r/ variant; these six participants were evenly divided across EF and IF treatment groups. Regression results indicated that /r/ productions were significantly more likely to be rated accurate post- than pre-treatment. Internal versus external direction of focus cues was not a significant predictor of accuracy, nor did it interact significantly with other predictors. Conclusions The results are consistent with previous literature reporting that visual–acoustic biofeedback can produce measurable treatment gains in children who have not responded to previous intervention. These findings are also in keeping with previous research suggesting that biofeedback may be sufficient to establish an external attentional focus, independent of verbal cues provided. The finding that explicit articulator placement cues were not necessary for progress in treatment has implications for intervention practices for speech-sound disorders in children.",
,,,,240,Implementation of parental feeding practices: does parenting style matter?,"A Kiefner-Burmeister, D Hoffmann, S Zbur",Public health nutrition,March,March 2016,http://www.ncbi.nlm.nih.gov/pubmed/26975423,"OBJECTIVES: To combat childhood obesity, researchers have focused on parental feeding practices that promote child health. The current study investigated how parenting style relates to twelve parental feeding practices. DESIGN: Data on parenting style and parental feeding practices were obtained for a correlational study from users of Amazon's Mechanical Turk, an online survey system. SETTING:USA. SUBJECTS: Mothers of children aged 7-11 years (n 193). RESULTS: Parenting style related differentially to eleven out of the twelve measured practices. Authoritative mothers displayed more feeding practices that promote child health and fewer practices that impede child health. Authoritarian and permissive mothers displayed more unhealthy practices than authoritative mothers, but differed from each other on the practices they employed. CONCLUSIONS: Parenting style may relate to more aspects of feeding than previously realized. The inclusion of numerous healthy feeding practices along with unhealthy practices in the current study provides suggestions for the application of healthy feeding behaviours. Instruction on feeding behaviours and parenting style should be a focus of future educational programmes.",
,,,,241,Sociocultural Variation in Attitudes Toward use of Genetic Information and Participation in Genetic Research by Race in the United States: Implications for Precision …,"T Dye, D Li, M Demment, S Groth, D Fernandez",Journal of the American Medical Informatics Association,March,March 2016,https://jamia.oxfordjournals.org/content/early/2016/03/16/jamia.ocv214.full,"Background “Precision medicine” (PM) requires researchers to identify actionable genetic risks and for clinicians to interpret genetic testing results to patients. Whether PM will equally benefit all populations or exacerbate existing disparities is uncertain. Methods We ascertained attitudes toward genetic testing and genetic research by race in the United States using the online Amazon mTurk US workforce (n = 403 White; n = 56 African American (AA)). Generalized linear models were used to test differences in beliefs and preferences by race, adjusting for sociodemographics and prior genetic experience. Results AA were less likely than White to believe that genetic tests should be promoted or made available. Further, AA were less likely to want genetic testing results or to participate in genetic research. Conclusions Important dimensions that underlay PM are not universally accepted by all populations. Without clear attention to concerns, AA communities may not equally benefit from the rapidly-emerging trend in PM-centered research and clinical practice.",
,,,,242,An Approach to Relevancy Detection: Contributions to the Automatic Detection of Relevance in Social Networks,"A Figueira, M Sandim, P Fortuna",New Advances in Information Systems and Technologies,March,March 2016,http://link.springer.com/chapter/10.1007/978-3-319-31232-3_9,"In this paper we analyze the information propagated through three social networks. Previous research has shown that most of the messages posted on Twitter are truthful, but the service is also used to spread misinformation and false rumors. In this paper we focus on the search for automatic methods for assessing the relevance of a given set of posts. We first retrieved from social networks, posts related to trending topics. Then, we categorize them as being news or as being conversational messages, and assessed their credibility. From the gained insights we used features to automatically assess whether a post is news or chat, and to level its credibility. Based on these two experiments we built an automatic classifier. The results from assessing our classifier, which categorizes posts as being relevant or not, lead to a high balanced accuracy, with the potential to be further enhanced.",
,,,,243,What Does the Public Know About Professional Counseling? A Study of Public Knowledge and Perception of Professional Counselors,"BP MacLeod, JW McMullen, EB Teague-Palmieri",Journal of Counselor Leadership and Advocacy ,March,March 2016,http://www.tandfonline.com/doi/abs/10.1080/2326716X.2015.1124815,"This study investigated current public perceptions of professional counseling by exploring perceived differences of professional counselors versus other helping professionals, perceptions of professional counseling in the United States, and agreement with the American Counseling Association’s 20/20 definition of counseling. Using the Helping Professionals Questionnaire, 300 participants were surveyed. The four major themes identified were education, task, focus, and identity confusion. Implications for future research and advocacy initiatives are also reviewed.",
,,,,244,"Mortality Salience, System Justification, and Candidate Evaluations in the 2012 US Presidential Election","J Sterling, JT Jost, PE Shrout",PLOS ONE,March,March 2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0150556,"Experiments conducted during the 2004 and 2008 U.S. presidential elections suggested that mortality salience primes increased support for President George W. Bush and Senator John McCain, respectively. Some interpreted these results as reflecting “conservative shift” following exposure to threat, whereas others emphasized preferences for “charismatic” leadership following exposure to death primes. To assess both hypotheses in the context of a new election cycle featuring a liberal incumbent who was considered to be charismatic, we conducted four experiments shortly before the 2012 election involving President Barack Obama and Governor Mitt Romney. Contrary to earlier studies, there was little evidence that mortality salience, either by itself or in interaction with political orientation, affected overall candidate ratings or voting intentions. However, a significant interaction between mortality salience and system justification in some studies indicated a more circumscribed effect. The failure to “replicate” previous results in the context of this election may be attributable to disagreement among participants as to which of the candidates better represented the societal status quo.",
,,,,245,Is an Apple Like a Fruit? A Study on Comparison and Categorisation Statements,"P Rubio-Fernández, B Geurts, C Cummins",Review of Philosophy and Psychology,March,March 2016,http://link.springer.com/article/10.1007/s13164-016-0305-4,"Categorisation models of metaphor interpretation are based on the premiss that categorisation statements (e.g., ‘Wilma is a nurse’) and comparison statements (e.g., ‘Betty is like a nurse’) are fundamentally different types of assertion. Against this assumption, we argue that the difference is merely a quantitative one: ‘x is a y’ unilaterally entails ‘x is like a y’, and therefore the latter is merely weaker than the former. Moreover, if ‘x is like a y’ licenses the inference thatx is not a y, then that inference is a scalar implicature. We defend these claims partly on theoretical grounds and partly on the basis of experimental evidence. A suite of experiments indicates both that ‘x is a y’ unilaterally entails that x is like a y, and that in several respects the non-y inference behaves exactly as one should expect from a scalar implicature. We discuss the implications of our view of categorisation and comparison statements for categorisation models of metaphor interpretation.",
,,,,246,A Cool Approach to Probing Speech Cortex,"A Flinker, RT Knight",Neuron,March,March 2016,http://www.sciencedirect.com/science/article/pii/S0896627316001768,"In this issue of Neuron, Long et al. (2016) employ a novel technique of intraoperative cortical cooling in humans during speech production. They demonstrate that cooling Broca’s area interferes with speech timing but not speech quality.",
,,,,247,"Symptoms of Psychopathology Within Groups of Eating‐Disordered, Restrained Eating, and Unrestrained Eating Individuals","GA Pollert, AA Kauffman, JC Veilleux",ournal of Clinical Psychology,March,March 2016,http://onlinelibrary.wiley.com/doi/10.1002/jclp.22283/full,"Objective While eating-disordered individuals have shown high levels of comorbid psychopathology, there has not been an assessment of these symptoms across groups exhibiting different forms of problematic eating behavior. Method Using 1,122 participants recruited via Amazon Mechanical Turk, this study examined self-reported differences between controls, restrained eaters, and individuals meeting criteria for binge eating disorder and bulimia nervosa on several measures of psychopathology unrelated to eating. Results On nearly all outcome measures, eating-disordered participants had greater symptoms of psychopathology compared to restrained eaters, who had greater levels compared to controls. Among the eating-disordered participants, bulimia nervosa participants had more symptoms of psychopathology than binge eating-disordered participants. Conclusion Treatment of the populations included in this study may be informed by an understanding of the different amounts of symptoms of comorbid psychopathology that confer additional distress and impairment above and beyond disordered eating behavior.",
,,,,248,Seeing How Far I've Come: The Impact of the Digital Sexual Life History Calendar on Young Adult Research Participants,LY Bay-Cheng,The Journal of Sex Research,March,March 2016,http://www.tandfonline.com/doi/abs/10.1080/00224499.2016.1139033,"The Digital Sexual Life History Calendar (d/SLHC) is a Web-based platform for collecting young adults’ sexual histories. In addition to collecting diverse data, the d/SLHC was designed to benefit participants by enabling reflection on their sexual and relationship experiences in the context of other life events and circumstances. In a pilot study of the d/SLHC, survey data were collected to test whether creating a d/SLHC timeline had any impact on sexual well-being. A sample of 18- to 25-year-old participants recruited through Amazon Mechanical Turk (MTurk) completed an online survey about sexuality and relationships. Of those, 113 also completed d/SLHC timelines and 262 served as a comparison group. Six months later, participants from both groups were invited to complete a follow-up survey (total N = 249). Repeated-measures analysis of variance (ANOVA) results indicated that participants who completed d/SLHC timelines exhibited higher sexual esteem immediately following d/SLHC completion and at follow-up. No changes in sexual esteem were observed in the comparison group, and there were no differences between the groups with regard to sexual health behaviors and outcomes. These findings suggest that sexuality studies may have the potential to yield not only rich data for researchers but also rich experiences for participants.",
,,,,249,Cortical Integration of Contextual Information across Objects,"T Livne, M Bar",Journal of Cognitive Neuroscience,March,March 2016,http://www.mitpressjournals.org/doi/abs/10.1162/jocn_a_00944,"Recognizing objects in the environment and understanding our surroundings often depends on context: the presence of other objects and knowledge about their relations with each other. Such contextual information activates a set of medial lobe brain regions, the parahippocampal cortex and the retrosplenial complex. Both regions are more activated by single objects with a unique contextual association than by objects not associated with any specific context. Similarly they are more activated by spatially coherent arrangements of objects when those are consistent with their known spatial relations. The current study tested how context in multiple-object displays is represented in these regions in the absence of relevant spatial information. Using an fMRI slow-event-related design, we show that the precuneus (a subpart of the retrosplenial complex) is more activated by simultaneously presented contextually related objects than by unrelated objects. This suggests that the representation of context in this region is cumulative, representing integrated information across objects in the display. We discuss these findings in relation to processing of visual information and relate them to previous findings of contextual effects in perception.",
,,,,250,Insecure Romantic Attachment Dimensions and Frequency of Mate Retention Behaviors,"N Barbaro, MN Pham, TK Shackelford, V Zeigler-Hill",Personal Relationships,March,March 2016,http://toddkshackelford.com/downloads/Barbaro%20et%20al%20%202016%20PR.pdf,"Individual differences in attachment bonds may influence performance of mate retention behaviors. Because anxiously attached individuals are hypervigilant to partner rejection cues, we hypothesize that individuals higher in anxious attachment will perform more frequent mate retention behaviors. Because avoidantly attached individuals evade intimacy with their partners, we hypothesize that individuals higher in avoidant attachment will perform less frequent mate retention behaviors. Participants (N = 469) in a romantic relationship completed measures of romantic attachment and mate retention behaviors. The results provide support for the study hypotheses, but also reveal that avoidantly attached women perform more frequent mate retention behaviors that deter intrasexual rivals. We discuss limitations of this research and highlight directions for research on romantic attachment, mate retention behaviors, and infidelity.",
,,,,251,Fashion Meets Computer Vision and NLP at e-Commerce Search,"S Zoghbi, G Heyman, JC Gomez, MF Moens",International Journal of Computer and Electrical Engineering,March,March 2016,http://search.proquest.com/openview/40e242502006cae7b71ccf2931bc9a6f/1?pq-origsite=gscholar&cbl=2027405,"Abstract: In this paper, we focus on cross-modal (visual and textual) e-commerce search within the fashion domain. Particularly, we investigate two tasks: 1) given a query image, we retrieve textual descriptions that correspond to the visual attributes in the query; and 2) given a textual query that may express an interest in specific visual product characteristics, we retrieve relevant images that exhibit the required visual attributes. To this end, we introduce a new dataset that consists of 53,689 images coupled with textual descriptions. The images contain fashion garments that display a great variety of visual attributes, such as different shapes, colors and textures in natural language. Unlike previous datasets, the text provides a rough and noisy description of the item in the image. We extensively analyze this dataset in the context of cross-modal e-commerce search. We investigate two state-of-the-art latent variable models to bridge between textual and visual data: bilingual latent Dirichlet allocation and canonical correlation analysis. We use state-of-the-art visual and textual features and report promising results. Key words: Content-based multimedia retrieval, internet search technologies, information",
,,,,252,Explaining Americans' responses to dread epidemics: an illustration with Ebola in late 2014,BB Johnson,Journal of Risk Research,March,March 2016,http://www.tandfonline.com/doi/abs/10.1080/13669877.2016.1153507,"Despite several surveys of Americans’ responses to Ebola as people were treated or died in the US in the late fall of 2014, little was published on factors that might affect these responses, despite their value for informing future management and communication regarding outbreaks of novel infectious diseases. This explanatory aim was the goal of a national quota online sample of Americans (n = 815) who reported their beliefs and attitudes about Ebola in early December, three weeks after the second US death. Responses were shaped particularly by risk judgments and concern, but also by available Ebola information (from news attention or residence in a state with Ebola experience), political cues (partisanship, ideology), and demographics. Judgments of personal risk and US/global risk were shaped by largely different factors; for example, knowledge of Ebola exposure routes exhibited negative and positive signs, respectively. News attention was associated with both positive (e.g. trust in US Centers for Disease Control & Prevention [CDC]; knowledge) and negative (e.g. US/global risk perception; concern about a US outbreak and family member infection) reactions. Findings suggest challenges for future health communication.",
,,,,253,Workers' intrinsic work motivation when job demands are high: The role of need for autonomy and perceived opportunity for blended working,"NW Van Yperen, B Wörtler, KMM De Jonge",Computers in Human Behavior,March,March 2016,http://www.sciencedirect.com/science/article/pii/S0747563216301261,"Work overload or work pressure may undermine workers' intrinsic motivation. In the present research, we tested the conditions under which this may (not) occur, including the perceived opportunity to blend on-site and off-site working through the effective use of computers and modern information and communication technology. Our sample consisted of 657 workers (51% female) representing a variety of industries. As hypothesized, it is not high job demands per se, but high demands in combination with a high need for autonomy and a lack of perceived opportunities for blended working that undermines intrinsic work motivation. When workers high in need for autonomy perceived opportunities for blended working, their intrinsic work motivation was not negatively affected by increasing job demands. This main finding suggests that, particularly for workers high in need for autonomy, the perceived opportunity for blended working is an effective, contemporary resource to cope with the increasing job demands typically observed in today's workplace. Theoretically, these findings contribute to the refinement and extension of influential demands-resource models and Person-Job Fit theory. Practically, our findings may show managers how to effectively keep workers intrinsically motivated and productive in their jobs when job demands are high.",
,,,,254,Complexities in Assessing Marital Beliefs: Illustrations Across College and Non-College Emerging Adults,"BJ Willoughby, J Egbert",Marriage & Family Review,March,March 2016,http://www.tandfonline.com/doi/abs/10.1080/01494929.2016.1157124,"Although research on marital beliefs has been increasing in recent years due to cultural and behavioral shifts regarding marital transitions, scholarly work dedicated to the measurement of marital beliefs has been limited. Using a sample of 571 college students, the Criteria for Marriage Readiness Scale (CMRS) was assessed to see if results from a previous validation study could be replicated. Results largely replicated previous findings but suggested a shorter and slightly revised version of the CMRS. A sample of 102 individuals with no college experience were then also administered the CMRS to see if measurement remained valid across a noncollege population. Results suggested that the CMRS may not be a valid measurement in this population, and further tests revealed that the college and noncollege samples were not invariant in regards to the factor structure of the CMRS. Implications for the assessment of marital beliefs given the lack of research on noncollege samples is discussed.",
